n,Site_ID,Unit,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom
4,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,762,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3583589050111, -30.8930328870648)"
5,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.4,0.4,762,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3591360171729, -30.8930328870648)"
6,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.43,0.43,762,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3599131293346, -30.8930328870648)"
7,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.43,0.43,762,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3606902414964, -30.8930328870648)"
8,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,762,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3614673536581, -30.8930328870648)"
9,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.45,0.45,762,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3583589050111, -30.8922557749031)"
10,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.43,0.43,762,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3591360171729, -30.8922557749031)"
11,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,762,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3599131293346, -30.8922557749031)"
12,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.43,0.43,762,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3606902414964, -30.8922557749031)"
13,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.39,0.39,762,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3614673536581, -30.8922557749031)"
14,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.49,0.49,761,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3583589050111, -30.8914786627413)"
15,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.4,0.4,761,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3591360171729, -30.8914786627413)"
16,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,761,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3599131293346, -30.8914786627413)"
17,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.39,0.39,761,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3606902414964, -30.8914786627413)"
18,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.45,0.45,761,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3614673536581, -30.8914786627413)"
19,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.49,0.49,761,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3591360171729, -30.8907015505796)"
20,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.4,0.4,761,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3599131293346, -30.8907015505796)"
21,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.46,0.46,761,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3606902414964, -30.8907015505796)"
5,TSTALTS002,TSTALTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.46,0.46,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3361173917607, -30.8689454107323)"
10,TSTALTS002,TSTALTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.45,0.45,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3361173917607, -30.8681683859485)"
11,TSTALTS002,TSTALTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.5,0.5,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3368944165445, -30.8681683859485)"
