n,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom
80,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.47,0.47,755,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3504172767676, -30.8719867582382)"
81,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.20000000298023224,0.4,0.4,767,13.9,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3289706861571, -30.898528505356)"
82,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.47,0.47,755,15.4,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3573233538208, -30.8631162087387)"
83,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.5,0.4,0.4,760,14.4,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3286955364653, -30.8804734362059)"
84,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,771,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.380037986553, -30.9134916070135)"
85,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.46,0.46,775,13.9,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3682958477521, -30.8729758365774)"
86,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.46,0.46,771,15.2,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3701598363669, -30.9227244970797)"
87,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.46,0.46,765,15.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.37268973846, -30.8950551550355)"
88,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.10000000149011612,0.43,0.43,764,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.351595065405, -30.9108042321905)"
89,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.38,0.38,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3693811231274, -30.879563470893)"
90,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.43,0.43,762,14.9,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3802461971918, -30.8571039076501)"
91,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.699999988079071,0.4,0.4,760,14,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3048401929185, -30.8813453696554)"
92,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.39,0.39,762,14.9,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3791311249905, -30.8529837784209)"
93,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.41,0.41,804,12.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3908522324812, -30.8365814804302)"
94,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.4,0.4,751,14.5,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.2937588985591, -30.8798858498384)"
95,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.4,0.4,787,13.2,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3904932729295, -30.8421477261661)"
96,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.45,0.45,755,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3561104559704, -30.8748354447788)"
97,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.10000000149011612,0.37,0.37,772,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.385819566477, -30.9117928838749)"
98,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.10000000149011612,0.42,0.42,772,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3867079967973, -30.9119233671503)"
99,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.5,0.5,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3372434022674, -30.8694870938043)"
100,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,757,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3550224111792, -30.8753166763979)"
1,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.41,0.41,743,15.2,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3091595252158, -30.8379083212493)"
2,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.41,0.41,740,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.299689123635, -30.839549329568)"
3,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0.5,0.39,0.39,765,13.5,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3065858667967, -30.8700270983563)"
4,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0.30000001192092896,0.44,0.44,754,13.7,36.95469284057617,17.804088592529297,23.155881881713867,"c(28.2938728300173, -30.8175516253777)"
5,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.47,0.47,751,15.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3528425273643, -30.8496543270616)"
6,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0.30000001192092896,0.41,0.41,771,12.7,36.95469284057617,17.804088592529297,23.155881881713867,"c(28.2618892802772, -30.8159226894615)"
